0#0001#0001,11,80
11#1#001,8,109
0#1#1,5,104
0#0001#0001,11,77
001#001#0001,12,46
01#1001#1101,12,26
101#101#0101,12,109
11#111#0101,11,49
11#11#011,9,80
011#0001#0111,13,109
101#1#011,9,77
101#0111#11001,14,72
1#1001#0101,11,77
101#1011#01001,14,109
111#01#1001,11,11
101#1011#01001,14,77
1#1001#0101,11,49
11#011#1001,11,45
001#101#1001,12,72
11#11#011,9,104
0#01#01,7,23
011#1#111,9,85
001#01#011,10,77
11#0011#1111,12,49
101#0#101,9,77
01#0111#00001,13,77
0101#101#1111,13,106
1011#1#0111,11,109
01#0#01,7,72
011#111#1011,12,77
001#0111#01001,14,77
01#1111#10001,13,49
1111#0#1111,11,116
0#1001#1001,11,61
0011#001#00001,14,26
0101#111#10001,14,26
0101#011#00001,14,116
101#101#0101,12,27
0111#0#0111,11,49
0001#011#0111,13,116
0011#0101#01101,15,109
1101#011#10001,14,116
0011#011#01001,14,77
1101#101#00001,14,116
011#0#011,9,77
001#111#1101,12,77
011#01#0001,11,77
001#0011#00001,14,109
111#001#1101,12,109
101#0001#1011,13,116
111#0001#1111,13,116
1101#0#1101,11,69
011#001#0101,12,116
011#1101#10001,14,106
1111#0111#10111,15,116
11#1101#0111,12,69
0101#0111#00011,15,116
011#0#011,9,116
0011#111#11001,14,116
0001#101#1011,13,109
0111#0111#00111,15,116
101#0111#11001,14,77
001#001#0001,12,85
1001#001#1011,13,106
101#111#0011,12,84
1011#011#11001,14,116
0101#1001#11001,15,106
0001#101#1011,13,85
0011#001#00001,14,23
0#1011#1011,11,84
1101#01#1011,12,116
0101#1101#10101,15,77
0101#0001#01001,15,96
0#1001#1001,11,77
011#1#111,9,106
1101#001#1111,13,104
1111#00111#110101,17,68
1111#00011#111001,17,109
0001#0001#00001,15,109
0111#1#1111,11,126
011#0011#01001,14,104
0001#10101#10111,16,116
01#11111#100001,15,26
1111#00011#111001,17,80
1001#11001#00111,16,119
0001#1#1001,11,154
001#111#1101,12,154
111#111#0111,12,154
111#00101#11011,15,126
011#0111#00101,14,126
11#0011#1111,12,114
1#0001#1001,11,27
0011#0101#01101,15,147
1001#1#0101,11,109
0001#00011#000001,17,116
01#01011#00111,14,106
011#00011#01111,15,96
1001#011#1111,13,111
001#0011#00001,14,147
1001#1#0101,11,116
1#1111#00001,12,68
0001#00001#00011,16,147
011#0111#00101,14,116
0#1#1,5,106
1#111#0001,10,154
1101#00011#110001,17,116
1101#101#00001,14,49
0#01#01,7,116
0111#1011#11011,15,111
011#10111#110001,16,116
011#00011#01111,15,154
1001#0101#11001,15,68
1001#001#1011,13,85
0001#01101#01111,16,68
011#01011#000001,16,154
111#0101#10001,14,85
0111#01101#001001,17,106
1001#011#1111,13,77
0101#11101#100001,17,154
001#11111#110001,16,147
0001#00001#00011,16,126
101#10011#01111,15,76
0001#10001#10011,16,154
0#10011#10011,13,11
01#10011#11011,14,80
111#11111#011001,16,77
00101#1101#11111,16,95
01111#01001#000011,18,163
1#00011#10011,13,139
0111#00001#01111,16,163
111#0#111,9,163
01111#01101#001011,18,115
00101#00111#000011,18,163
11001#11101#010101,18,116
01111#11111#101111,18,125
10001#1101#00111,16,76
11101#01011#100011,18,126
111#101#0011,12,163
11011#10101#000011,18,147
1011#0101#11101,15,154
0111#1011#11011,15,151
11101#01001#100101,18,139
10101#11111#001011,18,154
01#111#1001,11,95
01101#0001#01111,16,154
1101#00001#11011,16,154
11111#10011#000111,18,163
0111#0101#00011,15,151
10001#1011#01111,16,111
1101#011#10001,14,151
00001#00011#000101,18,163
1001#1101#00101,15,105
00001#00101#001001,18,154
011#01#0001,11,116
00101#0111#010001,17,163
1111#1011#00111,15,163
00011#01001#010101,18,111
1111#0#1111,11,151
0#0#0,5,125
111#01011#100001,16,115
11001#01011#101101,18,163
01011#00011#010011,18,163
10001#11101#000101,18,115
1011#1101#00011,15,163
0011#01011#011001,17,147
11011#0001#110001,17,119
1#1001#0101,11,154
10111#0111#110101,17,139
1101#0111#10011,15,154
11011#10001#001101,18,52
00111#011#010001,16,147
00111#0111#010101,17,154
0111#01011#000101,17,151
1#11011#00111,13,111
00011#01101#011101,18,154
01101#0001#01111,16,163
1101#111001#010011,18,207
11#10011#00111,14,166
111#100011#000111,17,125
01001#100111#1101001,20,95
11111#10101#001011,18,207
00111#11111#110111,18,68
01#01011#00111,14,77
00001#101011#1010001,20,68
01011#1#11011,13,151
00101#00001#001001,18,207
111#011011#101111,17,166
0001#10001#10011,16,126
11011#01101#100011,18,191
0001#111#1111,13,163
10001#000001#100011,19,166
11101#11101#011101,18,166
111#111#0111,12,207
10111#11111#001111,18,159
01011#110001#101111,19,151
00111#0111#010101,17,166
01011#100011#1101001,20,207
00111#110101#1110001,20,207
1#00001#10001,13,207
11011#000001#110111,19,163
011#11111#101001,16,175
1#010001#110001,15,151
01011#001001#011111,19,154
011#10001#11101,15,163
11011#0111#100101,17,125
011#001111#0100001,18,175
101#000101#101101,17,119
0101#10101#11111,16,207
0001#110001#110101,18,109
0#101001#101001,15,154
011#001111#0100001,18,207
0011#110101#111011,18,198
001#001011#000111,17,191
0011#011001#010011,18,159
00101#00111#000011,18,125
11101#111101#0110001,20,115
00011#1001#100001,17,175
01#00011#01011,14,154
01#111#1001,11,166
01101#000001#011011,19,114
00001#0011#00111,16,163
01#01111#000001,15,207
1001#010011#110111,18,207
00101#10011#101101,18,115
011#11001#10011,15,166
011#010111#0000001,18,163
110111#11111#0101101,20,191
1001#1111#00011,15,159
100011#10001#0100001,20,126
000101#000111#0000011,21,218
01111#10111#110111,18,166
10001#01011#110101,18,154
110111#1101#0110001,19,150
111101#0101#100111,18,207
110011#110011#0110011,21,109
01#101001#111001,16,174
11#10101#00011,14,159
000111#100111#1000111,21,207
00111#001#000001,16,166
111001#111011#0111101,21,163
01011#001111#0110101,20,204
100011#111011#0001011,21,125
11#010111#101111,16,218
101101#000101#1010101,21,218
11101#0111#101001,17,139
111101#00001#111111,19,204
001111#11001#1111001,20,218
10111#010001#111111,19,207
0011#110001#111101,18,218
10011#111111#0001101,20,218
101101#10101#0100001,20,174
001#101#1001,12,207
10001#1101#00111,16,166
000011#101111#1011011,21,174
011#001101#010011,17,154
0111#000011#011111,18,162
00001#10111#101101,18,174
010111#010001#0011101,21,142
000101#0#000101,15,126
011001#110111#1000011,21,126
0001#100001#100101,18,207
011#0101#00001,14,218
00101#11#11101,14,207
110011#01001#1010001,20,190
011001#110111#1000011,21,218
